task_id,task_name,phase,duration_days,equipment_tag,predecessors,float_days,is_critical
T-0095,Secondary Steel Installation #5,STRUCTURAL,6,CONC-05,T-0094,171,0
T-0096,Roof Structure Assembly #6,STRUCTURAL,12,STEEL-06,T-0095,171,0
T-0097,Steel Frame Erection (Block 7),STRUCTURAL,4,STEEL-07,T-0096,171,0
T-0098,Precast Panel Installation #8,STRUCTURAL,21,STEEL-08,T-0097,171,0
T-0099,Metal Deck Installation #9,STRUCTURAL,5,CONC-09,T-0098,171,0
T-0100,Concrete Column Pour #10,STRUCTURAL,5,STEEL-10,T-0099,171,0
T-0101,Secondary Steel Installation #11,STRUCTURAL,7,CONC-11,T-0100,171,0
T-0102,Roof Structure Assembly #12,STRUCTURAL,20,STEEL-12,T-0101,171,0
T-0103,Steel Frame Erection (Block 13),STRUCTURAL,11,CONC-13,T-0102,171,0
T-0104,Precast Panel Installation #14,STRUCTURAL,9,STEEL-14,T-0103,171,0
T-0105,Metal Deck Installation #15,STRUCTURAL,25,CONC-15,T-0104,171,0
T-0106,Concrete Column Pour #16,STRUCTURAL,15,CONC-16,T-0105,171,0
T-0107,Secondary Steel Installation #17,STRUCTURAL,17,CONC-17,,377,0
T-0108,Roof Structure Assembly #18,STRUCTURAL,6,STEEL-18,,388,0
T-0109,Steel Frame Erection (Block 19),STRUCTURAL,10,STEEL-19,,384,0
T-0110,Precast Panel Installation #20,STRUCTURAL,13,STEEL-20,,381,0
T-0111,Metal Deck Installation #21,STRUCTURAL,21,STEEL-21,,373,0
T-0112,Concrete Column Pour #22,STRUCTURAL,21,STEEL-22,,373,0
T-0113,Secondary Steel Installation #23,STRUCTURAL,3,STEEL-23,,391,0
T-0114,Roof Structure Assembly #24,STRUCTURAL,25,STEEL-24,,369,0
T-0115,Steel Frame Erection (Block 25),STRUCTURAL,10,STEEL-25,,384,0
T-0116,Precast Panel Installation #26,STRUCTURAL,4,CONC-26,,390,0
T-0117,Metal Deck Installation #27,STRUCTURAL,5,STEEL-27,,389,0
T-0118,Concrete Column Pour #28,STRUCTURAL,11,CONC-28,,383,0
T-0119,Secondary Steel Installation #29,STRUCTURAL,9,STEEL-29,,385,0
T-0120,Roof Structure Assembly #30,STRUCTURAL,21,CONC-30,,373,0
T-0121,Steel Frame Erection (Block 31),STRUCTURAL,10,CONC-31,,384,0
T-0122,Precast Panel Installation #32,STRUCTURAL,16,STEEL-32,,378,0
T-0123,Metal Deck Installation #33,STRUCTURAL,6,STEEL-33,,388,0
T-0124,Concrete Column Pour #34,STRUCTURAL,24,CONC-34,,370,0
T-0125,Secondary Steel Installation #35,STRUCTURAL,14,CONC-35,,380,0
T-0126,Roof Structure Assembly #36,STRUCTURAL,16,CONC-36,,378,0
T-0127,Steel Frame Erection (Block 37),STRUCTURAL,4,STEEL-37,,390,0
T-0128,Precast Panel Installation #38,STRUCTURAL,4,CONC-38,,390,0
T-0129,Metal Deck Installation #39,STRUCTURAL,13,STEEL-39,,381,0
T-0130,Concrete Column Pour #40,STRUCTURAL,10,STEEL-40,,384,0
T-0131,Secondary Steel Installation #41,STRUCTURAL,9,CONC-41,,385,0
T-0132,Roof Structure Assembly #42,STRUCTURAL,7,CONC-42,,387,0
T-0133,Steel Frame Erection (Block 43),STRUCTURAL,8,CONC-43,,386,0
T-0134,Precast Panel Installation #44,STRUCTURAL,17,STEEL-44,,377,0
T-0135,Metal Deck Installation #45,STRUCTURAL,5,CONC-45,,389,0
T-0136,Concrete Column Pour #46,STRUCTURAL,20,STEEL-46,,374,0
T-0137,Secondary Steel Installation #47,STRUCTURAL,4,STEEL-47,,390,0
T-0138,Roof Structure Assembly #48,STRUCTURAL,5,STEEL-48,,389,0
T-0139,Steel Frame Erection (Block 49),STRUCTURAL,8,CONC-49,,386,0
T-0140,Precast Panel Installation #50,STRUCTURAL,18,CONC-50,,28,0
T-0141,Air Handling Unit Installation (Room 1),MECHANICAL,9,PUMP-01,T-0140,28,0
T-0142,CRAC Unit Placement #2,MECHANICAL,4,CRAC-02,T-0141,28,0
T-0143,Chiller Plant Installation #3,MECHANICAL,15,AHU-03,T-0142,28,0
T-0144,Cooling Tower Installation #4,MECHANICAL,15,CHILLER-04,T-0143,28,0
T-0145,Pump Skid Assembly #5,MECHANICAL,17,CHILLER-05,T-0144,28,0
T-0146,Piping Insulation #6,MECHANICAL,16,PUMP-06,T-0145,28,0
T-0147,Ductwork Fabrication #7,MECHANICAL,7,CRAC-07,T-0146,28,0
T-0148,Mechanical Penetrations Sealing #8,MECHANICAL,12,CRAC-08,T-0147,28,0
T-0149,Air Handling Unit Installation (Room 9),MECHANICAL,4,AHU-09,T-0148,28,0
T-0150,CRAC Unit Placement #10,MECHANICAL,13,AHU-10,T-0149,28,0
T-0151,Chiller Plant Installation #11,MECHANICAL,4,PUMP-11,T-0150,28,0
T-0152,Cooling Tower Installation #12,MECHANICAL,19,CRAC-12,T-0151,28,0
T-0153,Pump Skid Assembly #13,MECHANICAL,4,AHU-13,T-0152,28,0
T-0154,Piping Insulation #14,MECHANICAL,8,AHU-14,T-0153,28,0
T-0155,Ductwork Fabrication #15,MECHANICAL,22,AHU-15,T-0154,28,0
T-0156,Mechanical Penetrations Sealing #16,MECHANICAL,24,CRAC-16,T-0155,28,0
T-0157,Air Handling Unit Installation (Room 17),MECHANICAL,15,AHU-17,T-0156,28,0
T-0158,CRAC Unit Placement #18,MECHANICAL,21,CRAC-18,T-0157,28,0
T-0159,Chiller Plant Installation #19,MECHANICAL,21,AHU-19,T-0158,28,0
T-0160,Cooling Tower Installation #20,MECHANICAL,22,AHU-20,T-0159,28,0
T-0161,Pump Skid Assembly #21,MECHANICAL,16,CHILLER-21,T-0160,28,0
T-0162,Piping Insulation #22,MECHANICAL,11,CRAC-22,T-0161,28,0
T-0163,Ductwork Fabrication #23,MECHANICAL,24,CHILLER-23,T-0162,28,0
T-0164,Mechanical Penetrations Sealing #24,MECHANICAL,10,CHILLER-24,T-0163,28,0
T-0165,Air Handling Unit Installation (Room 25),MECHANICAL,15,CRAC-25,T-0164,28,0
T-0166,CRAC Unit Placement #26,MECHANICAL,24,CHILLER-26,,370,0
T-0167,Chiller Plant Installation #27,MECHANICAL,17,CHILLER-27,,377,0
T-0168,Cooling Tower Installation #28,MECHANICAL,5,AHU-28,,389,0
T-0169,Pump Skid Assembly #29,MECHANICAL,17,AHU-29,,377,0
T-0170,Piping Insulation #30,MECHANICAL,5,CRAC-30,,389,0
T-0171,Ductwork Fabrication #31,MECHANICAL,19,CHILLER-31,,375,0
T-0172,Mechanical Penetrations Sealing #32,MECHANICAL,7,CHILLER-32,,387,0
T-0173,Air Handling Unit Installation (Room 33),MECHANICAL,5,CRAC-33,,389,0
T-0174,CRAC Unit Placement #34,MECHANICAL,14,CHILLER-34,,380,0
T-0175,Chiller Plant Installation #35,MECHANICAL,8,PUMP-35,,386,0
T-0176,Cooling Tower Installation #36,MECHANICAL,20,CHILLER-36,,374,0
T-0177,Pump Skid Assembly #37,MECHANICAL,22,AHU-37,,372,0
T-0178,Piping Insulation #38,MECHANICAL,24,CHILLER-38,,370,0
T-0179,Ductwork Fabrication #39,MECHANICAL,24,AHU-39,,370,0
T-0180,Mechanical Penetrations Sealing #40,MECHANICAL,7,CHILLER-40,,387,0
T-0181,Air Handling Unit Installation (Room 41),MECHANICAL,6,AHU-41,,388,0
T-0182,CRAC Unit Placement #42,MECHANICAL,20,CRAC-42,,374,0
T-0183,Chiller Plant Installation #43,MECHANICAL,11,CHILLER-43,,383,0
T-0184,Cooling Tower Installation #44,MECHANICAL,22,CRAC-44,,372,0
T-0185,Pump Skid Assembly #45,MECHANICAL,25,CHILLER-45,,369,0
T-0186,Piping Insulation #46,MECHANICAL,9,CHILLER-46,,385,0
T-0187,Ductwork Fabrication #47,MECHANICAL,19,PUMP-47,,375,0
T-0188,Mechanical Penetrations Sealing #48,MECHANICAL,11,AHU-48,,383,0
T-0189,Air Handling Unit Installation (Room 49),MECHANICAL,5,PUMP-49,,389,0
T-0190,CRAC Unit Placement #50,MECHANICAL,11,AHU-50,,383,0
T-0191,Chiller Plant Installation #51,MECHANICAL,3,CHILLER-51,,391,0
T-0192,Cooling Tower Installation #52,MECHANICAL,7,CHILLER-52,,387,0
T-0193,Pump Skid Assembly #53,MECHANICAL,8,PUMP-53,,386,0
T-0194,Piping Insulation #54,MECHANICAL,20,PUMP-54,,374,0
T-0195,Ductwork Fabrication #55,MECHANICAL,20,AHU-55,,374,0
T-0196,Mechanical Penetrations Sealing #56,MECHANICAL,6,AHU-56,,388,0
T-0197,Air Handling Unit Installation (Room 57),MECHANICAL,25,CRAC-57,,369,0
T-0198,CRAC Unit Placement #58,MECHANICAL,20,AHU-58,,374,0
T-0199,Chiller Plant Installation #59,MECHANICAL,14,CRAC-59,,380,0
T-0200,Cooling Tower Installation #60,MECHANICAL,16,CRAC-60,,378,0
T-0201,Pump Skid Assembly #61,MECHANICAL,4,CHILLER-61,,390,0
T-0202,Piping Insulation #62,MECHANICAL,14,AHU-62,,380,0
T-0203,Ductwork Fabrication #63,MECHANICAL,14,CRAC-63,,380,0
T-0204,Mechanical Penetrations Sealing #64,MECHANICAL,24,CRAC-64,,370,0
T-0205,Air Handling Unit Installation (Room 65),MECHANICAL,24,AHU-65,,370,0
T-0206,CRAC Unit Placement #66,MECHANICAL,14,PUMP-66,,380,0
T-0207,Chiller Plant Installation #67,MECHANICAL,22,CRAC-67,,372,0
T-0208,Cooling Tower Installation #68,MECHANICAL,10,CRAC-68,,384,0
T-0209,Pump Skid Assembly #69,MECHANICAL,8,PUMP-69,,386,0
T-0210,Piping Insulation #70,MECHANICAL,3,CRAC-70,,391,0
T-0211,Ductwork Fabrication #71,MECHANICAL,13,PUMP-71,,381,0
T-0212,Mechanical Penetrations Sealing #72,MECHANICAL,24,CRAC-72,,370,0
T-0213,Air Handling Unit Installation (Room 73),MECHANICAL,11,CRAC-73,,383,0
T-0214,CRAC Unit Placement #74,MECHANICAL,25,AHU-74,,369,0
T-0215,Chiller Plant Installation #75,MECHANICAL,15,AHU-75,,31,0
T-0216,Medium Voltage Switchgear Installation (Zone 1),ELECTRICAL,18,SWGR-01,T-0215,31,0
T-0217,Transformer Energization #2,ELECTRICAL,9,PDU-02,T-0216,31,0
T-0218,UPS System Installation (Row 3),ELECTRICAL,14,UPS-03,T-0217,31,0
T-0219,PDU Distribution Installation #4,ELECTRICAL,10,SWGR-04,T-0218,31,0
T-0220,Generator Set Installation #5,ELECTRICAL,3,SWGR-05,T-0219,31,0
T-0221,Emergency Power Transfer Testing #6,ELECTRICAL,15,UPS-06,T-0220,31,0
T-0222,Cable Tray Installation #7,ELECTRICAL,11,XFMR-07,T-0221,31,0
T-0223,Grounding Grid Installation #8,ELECTRICAL,11,UPS-08,T-0222,31,0
T-0224,Busway Distribution (Zone 9),ELECTRICAL,23,PDU-09,T-0223,31,0
T-0225,PLC / SCADA Panel Installation #10,ELECTRICAL,24,UPS-10,T-0224,31,0
T-0226,Medium Voltage Switchgear Installation (Zone 11),ELECTRICAL,3,XFMR-11,T-0225,31,0
T-0227,Transformer Energization #12,ELECTRICAL,11,SWGR-12,T-0226,31,0
T-0228,UPS System Installation (Row 13),ELECTRICAL,21,UPS-13,T-0227,31,0
T-0229,PDU Distribution Installation #14,ELECTRICAL,4,XFMR-14,T-0228,31,0
T-0230,Generator Set Installation #15,ELECTRICAL,22,PDU-15,T-0229,31,0
T-0231,Emergency Power Transfer Testing #16,ELECTRICAL,14,UPS-16,T-0230,31,0
T-0232,Cable Tray Installation #17,ELECTRICAL,16,XFMR-17,T-0231,31,0
T-0233,Grounding Grid Installation #18,ELECTRICAL,15,SWGR-18,T-0232,31,0
T-0234,Busway Distribution (Zone 19),ELECTRICAL,11,XFMR-19,T-0233,31,0
T-0235,PLC / SCADA Panel Installation #20,ELECTRICAL,25,PDU-20,T-0234,31,0
T-0236,Medium Voltage Switchgear Installation (Zone 21),ELECTRICAL,3,SWGR-21,T-0235,31,0
T-0237,Transformer Energization #22,ELECTRICAL,14,PDU-22,T-0236,31,0
T-0238,UPS System Installation (Row 23),ELECTRICAL,5,UPS-23,T-0237,31,0
T-0239,PDU Distribution Installation #24,ELECTRICAL,22,UPS-24,T-0238,31,0
T-0240,Generator Set Installation #25,ELECTRICAL,24,XFMR-25,T-0239,31,0
T-0241,Emergency Power Transfer Testing #26,ELECTRICAL,12,UPS-26,,382,0
T-0242,Cable Tray Installation #27,ELECTRICAL,24,PDU-27,,370,0
T-0243,Grounding Grid Installation #28,ELECTRICAL,13,PDU-28,,381,0
T-0244,Busway Distribution (Zone 29),ELECTRICAL,25,UPS-29,,369,0
T-0245,PLC / SCADA Panel Installation #30,ELECTRICAL,20,SWGR-30,,374,0
T-0246,Medium Voltage Switchgear Installation (Zone 31),ELECTRICAL,9,PDU-31,,385,0
T-0247,Transformer Energization #32,ELECTRICAL,24,PDU-32,,370,0
T-0248,UPS System Installation (Row 33),ELECTRICAL,24,SWGR-33,,370,0
T-0249,PDU Distribution Installation #34,ELECTRICAL,22,UPS-34,,372,0
T-0250,Generator Set Installation #35,ELECTRICAL,15,XFMR-35,,379,0
T-0251,Emergency Power Transfer Testing #36,ELECTRICAL,12,UPS-36,,382,0
T-0252,Cable Tray Installation #37,ELECTRICAL,9,PDU-37,,385,0
T-0253,Grounding Grid Installation #38,ELECTRICAL,21,UPS-38,,373,0
T-0254,Busway Distribution (Zone 39),ELECTRICAL,17,PDU-39,,377,0
T-0255,PLC / SCADA Panel Installation #40,ELECTRICAL,17,SWGR-40,,377,0
T-0256,Medium Voltage Switchgear Installation (Zone 41),ELECTRICAL,19,PDU-41,,375,0
T-0257,Transformer Energization #42,ELECTRICAL,8,XFMR-42,,386,0
T-0258,UPS System Installation (Row 43),ELECTRICAL,12,UPS-43,,382,0
T-0259,PDU Distribution Installation #44,ELECTRICAL,5,SWGR-44,,389,0
T-0260,Generator Set Installation #45,ELECTRICAL,24,UPS-45,,370,0
T-0261,Emergency Power Transfer Testing #46,ELECTRICAL,10,SWGR-46,,384,0
T-0262,Cable Tray Installation #47,ELECTRICAL,7,XFMR-47,,387,0
T-0263,Grounding Grid Installation #48,ELECTRICAL,4,SWGR-48,,390,0
T-0264,Busway Distribution (Zone 49),ELECTRICAL,18,XFMR-49,,376,0
T-0265,PLC / SCADA Panel Installation #50,ELECTRICAL,17,PDU-50,,377,0
T-0266,Medium Voltage Switchgear Installation (Zone 51),ELECTRICAL,23,SWGR-51,,371,0
T-0267,Transformer Energization #52,ELECTRICAL,25,PDU-52,,369,0
T-0268,UPS System Installation (Row 53),ELECTRICAL,18,PDU-53,,376,0
T-0269,PDU Distribution Installation #54,ELECTRICAL,10,SWGR-54,,384,0
T-0270,Generator Set Installation #55,ELECTRICAL,23,XFMR-55,,371,0
T-0271,Emergency Power Transfer Testing #56,ELECTRICAL,6,PDU-56,,388,0
T-0272,Cable Tray Installation #57,ELECTRICAL,10,SWGR-57,,384,0
T-0273,Grounding Grid Installation #58,ELECTRICAL,25,PDU-58,,369,0
T-0274,Busway Distribution (Zone 59),ELECTRICAL,4,SWGR-59,,390,0
T-0275,PLC / SCADA Panel Installation #60,ELECTRICAL,6,PDU-60,,388,0
T-0276,Medium Voltage Switchgear Installation (Zone 61),ELECTRICAL,7,PDU-61,,387,0
T-0277,Transformer Energization #62,ELECTRICAL,24,UPS-62,,370,0
T-0278,UPS System Installation (Row 63),ELECTRICAL,17,PDU-63,,377,0
T-0279,PDU Distribution Installation #64,ELECTRICAL,20,PDU-64,,374,0
T-0280,Generator Set Installation #65,ELECTRICAL,8,PDU-65,,386,0
T-0281,Emergency Power Transfer Testing #66,ELECTRICAL,17,UPS-66,,377,0
T-0282,Cable Tray Installation #67,ELECTRICAL,10,UPS-67,,384,0
T-0283,Grounding Grid Installation #68,ELECTRICAL,19,PDU-68,,375,0
T-0284,Busway Distribution (Zone 69),ELECTRICAL,23,SWGR-69,,371,0
T-0285,PLC / SCADA Panel Installation #70,ELECTRICAL,11,PDU-70,,383,0
T-0286,Medium Voltage Switchgear Installation (Zone 71),ELECTRICAL,5,UPS-71,,389,0
T-0287,Transformer Energization #72,ELECTRICAL,10,UPS-72,,384,0
T-0288,UPS System Installation (Row 73),ELECTRICAL,13,UPS-73,,381,0
T-0289,PDU Distribution Installation #74,ELECTRICAL,20,XFMR-74,,374,0
T-0290,Generator Set Installation #75,ELECTRICAL,7,SWGR-75,,178,0
T-0291,Domestic Water Main Installation #1,PLUMBING,10,VLVE-01,T-0290,178,0
T-0292,Fire Suppression Piping (Zone 2),PLUMBING,25,PIPE-02,T-0291,178,0
T-0293,Cooling Water Distribution Piping #3,PLUMBING,25,PIPE-03,T-0292,178,0
T-0294,Condensate Drain System #4,PLUMBING,5,VLVE-04,T-0293,178,0
T-0295,FM200 Clean Agent System #5,PLUMBING,16,VLVE-05,T-0294,178,0
T-0296,Domestic Water Main Installation #6,PLUMBING,20,VLVE-06,T-0295,178,0
T-0297,Fire Suppression Piping (Zone 7),PLUMBING,16,PIPE-07,T-0296,178,0
T-0298,Cooling Water Distribution Piping #8,PLUMBING,9,VLVE-08,T-0297,178,0
T-0299,Condensate Drain System #9,PLUMBING,15,PIPE-09,T-0298,178,0
T-0300,FM200 Clean Agent System #10,PLUMBING,21,VLVE-10,T-0299,178,0
T-0301,Domestic Water Main Installation #11,PLUMBING,18,PIPE-11,T-0300,178,0
T-0302,Fire Suppression Piping (Zone 12),PLUMBING,14,VLVE-12,T-0301,178,0
T-0303,Cooling Water Distribution Piping #13,PLUMBING,15,VLVE-13,T-0302,178,0
T-0304,Condensate Drain System #14,PLUMBING,20,PIPE-14,,374,0
T-0305,FM200 Clean Agent System #15,PLUMBING,18,PIPE-15,,376,0
T-0306,Domestic Water Main Installation #16,PLUMBING,11,VLVE-16,,383,0
T-0307,Fire Suppression Piping (Zone 17),PLUMBING,18,PIPE-17,,376,0
T-0308,Cooling Water Distribution Piping #18,PLUMBING,15,VLVE-18,,379,0
T-0309,Condensate Drain System #19,PLUMBING,24,VLVE-19,,370,0
T-0310,FM200 Clean Agent System #20,PLUMBING,8,VLVE-20,,386,0
T-0311,Domestic Water Main Installation #21,PLUMBING,7,PIPE-21,,387,0
T-0312,Fire Suppression Piping (Zone 22),PLUMBING,15,PIPE-22,,379,0
T-0313,Cooling Water Distribution Piping #23,PLUMBING,5,VLVE-23,,389,0
T-0314,Condensate Drain System #24,PLUMBING,7,VLVE-24,,387,0
T-0315,FM200 Clean Agent System #25,PLUMBING,8,PIPE-25,,386,0
T-0316,Domestic Water Main Installation #26,PLUMBING,11,VLVE-26,,383,0
T-0317,Fire Suppression Piping (Zone 27),PLUMBING,13,PIPE-27,,381,0
T-0318,Cooling Water Distribution Piping #28,PLUMBING,17,VLVE-28,,377,0
T-0319,Condensate Drain System #29,PLUMBING,13,VLVE-29,,381,0
T-0320,FM200 Clean Agent System #30,PLUMBING,11,VLVE-30,,383,0
T-0321,Domestic Water Main Installation #31,PLUMBING,11,PIPE-31,,383,0
T-0322,Fire Suppression Piping (Zone 32),PLUMBING,18,PIPE-32,,376,0
T-0323,Cooling Water Distribution Piping #33,PLUMBING,20,PIPE-33,,374,0
T-0324,Condensate Drain System #34,PLUMBING,14,PIPE-34,,380,0
T-0325,FM200 Clean Agent System #35,PLUMBING,23,PIPE-35,,371,0
T-0326,Domestic Water Main Installation #36,PLUMBING,23,PIPE-36,,371,0
T-0327,Fire Suppression Piping (Zone 37),PLUMBING,3,PIPE-37,,391,0
T-0328,Cooling Water Distribution Piping #38,PLUMBING,9,PIPE-38,,385,0
T-0329,Condensate Drain System #39,PLUMBING,22,PIPE-39,,372,0
T-0330,FM200 Clean Agent System #40,PLUMBING,10,PIPE-40,,187,0
T-0331,Fiber Optic Backbone Installation #1,LOW_VOLTAGE,18,PATCH-01,T-0330,187,0
T-0332,Structured Cabling (Floor 2),LOW_VOLTAGE,6,PATCH-02,T-0331,187,0
T-0333,Security Camera System #3,LOW_VOLTAGE,9,RACK-03,T-0332,187,0
T-0334,Access Control Panel Installation #4,LOW_VOLTAGE,25,RACK-04,T-0333,187,0
